tick;supply
1528;2110.50
1529;2063.25
1530;2092.25
1531;2055.75
1532;1967.50
1533;1891.25
1534;1846.00
1535;1785.75
1536;1790.00
1537;1759.00
1538;1661.75
1539;1633.25
1540;1626.75
1541;1572.50
1542;1518.25
1543;1418.25
1544;1364.50
1545;1446.00
1546;1494.50
1547;1498.00
1548;1464.75
1549;1485.50
1550;1508.00
1551;1520.50
1552;1514.25
1553;1590.00
1554;1617.00
1555;1642.75
1556;1628.50
1557;1686.75
1558;1730.75
1559;1702.25
1560;1636.00
1561;1561.00
1562;1515.25
1563;1528.75
1564;1514.00
1565;1523.75
1566;1491.25
1567;1444.75
1568;1504.50
1569;1552.00
1570;1528.75
1571;1505.75
1572;1546.00
1573;1649.75
1574;1707.25
1575;1776.25
1576;1828.50
1577;1886.75
1578;1930.75
1579;1974.00
1580;2025.50
1581;2109.00
1582;2106.00
1583;2018.00
1584;2023.75
1585;2085.00
1586;2081.50
1587;2057.75
1588;2042.50
1589;1994.25
1590;1944.75
1591;1771.25
1592;1671.25
1593;1676.00
1594;1606.75
1595;1495.75
1596;1382.50
1597;1295.50
1598;1207.25
1599;1115.25
1600;1063.75
1601;973.75
1602;921.75
1603;915.50
1604;980.00
1605;1039.00
1606;1075.75
1607;1090.50
1608;1158.25
1609;1246.00
1610;1290.50
1611;1351.25
1612;1348.50
1613;1385.75
1614;1387.25
1615;1356.50
1616;1385.25
1617;1416.25
1618;1389.50
1619;1371.75
1620;1314.25
1621;1326.25
1622;1315.25
1623;1267.00
1624;1200.00
1625;1207.00
1626;1173.50
1627;1198.00
1628;1172.00
1629;1099.50
1630;1097.25
1631;1023.25
1632;1020.75
1633;1022.75
1634;1040.75
1635;1023.75
1636;1016.00
1637;1014.25
1638;996.50
1639;984.50
1640;951.75
1641;919.50
1642;901.75
1643;888.00
1644;880.50
1645;903.75
1646;936.50
1647;948.75
1648;925.50
1649;880.25
1650;894.50
1651;864.50
1652;837.75
1653;840.25
1654;869.75
1655;870.75
1656;900.00
1657;969.25
1658;1011.25
1659;1007.50
1660;1038.75
1661;1041.75
1662;1058.50
1663;1058.75
1664;1102.75
1665;1198.75
1666;1256.50
1667;1362.75
1668;1540.25
1669;1665.00
1670;1791.50
1671;1951.50
1672;2077.00
1673;2187.50
1674;2257.75
1675;2329.00
1676;2405.25
1677;2507.50
1678;2622.75
1679;2654.00
1680;2742.50
1681;2753.00
1682;2744.50
1683;2677.00
1684;2703.25
1685;2713.75
1686;2652.50
1687;2578.75
1688;2523.50
1689;2400.25
1690;2341.75
1691;2207.50
1692;2122.50
1693;2055.50
1694;1987.25
1695;1967.00
1696;1958.75
1697;1961.25
1698;2052.25
1699;2133.25
1700;2200.25
1701;2286.75
1702;2318.75
1703;2388.50
1704;2455.00
1705;2470.50
1706;2585.25
1707;2650.50
1708;2606.50
1709;2634.25
1710;2701.00
1711;2815.00
1712;2850.75
1713;2887.50
1714;2971.25
1715;2996.00
1716;3070.75
1717;3129.50
1718;3179.00
1719;3224.00
1720;3168.00
1721;3168.75
1722;3276.25
1723;3223.50
1724;3238.75
1725;3253.00
1726;3233.50
1727;3246.50
1728;3301.75
1729;3307.50
1730;3365.00
1731;3391.00
1732;3413.25
1733;3416.75
1734;3440.00
1735;3536.50
1736;3524.25
1737;3560.75
1738;3545.75
1739;3557.50
1740;3533.50
1741;3681.75
1742;3761.25
1743;3681.50
1744;3672.00
1745;3715.00
1746;3685.00
1747;3603.25
1748;3582.25
1749;3553.75
1750;3561.25
1751;3677.75
1752;3702.50
1753;3719.75
1754;3692.25
1755;3743.00
1756;3816.50
1757;3816.75
1758;3825.50
1759;3882.50
1760;3976.75
1761;4021.75
1762;4107.25
1763;4114.50
1764;4228.75
1765;4241.00
1766;4248.25
1767;4399.50
1768;4422.75
1769;4504.75
1770;4586.50
1771;4602.50
1772;4719.75
1773;4734.00
1774;4708.25
1775;4689.00
1776;4632.25
1777;4621.25
1778;4501.50
1779;4462.75
1780;4432.00
1781;4344.75
1782;4278.25
1783;4247.75
1784;4116.75
1785;3977.75
1786;3772.25
1787;3692.50
1788;3606.25
1789;3570.00
1790;3451.75
1791;3291.25
1792;3182.50
1793;3120.00
1794;3056.25
1795;3026.00
1796;2979.75
1797;3027.50
1798;2917.25
1799;2859.25
1800;2803.50
1801;2722.25
1802;2614.25
1803;2628.25
1804;2598.00
1805;2512.00
1806;2512.25
1807;2451.00
1808;2355.00
1809;2283.50
1810;2283.00
1811;2206.25
1812;2144.75
1813;2169.25
1814;2159.75
1815;2105.50
1816;2016.25
1817;2015.00
1818;1895.75
1819;1901.50
1820;1866.00
1821;1823.00
1822;1783.25
1823;1769.50
1824;1699.25
1825;1673.50
1826;1648.00
1827;1597.00
1828;1551.25
1829;1502.75
1830;1478.50
1831;1411.75
1832;1416.25
1833;1416.75
1834;1392.00
1835;1403.75
1836;1417.75
1837;1356.50
1838;1346.50
1839;1313.00
1840;1268.50
1841;1281.50
1842;1235.00
1843;1260.25
1844;1259.75
1845;1261.50
1846;1244.00
1847;1228.25
1848;1232.50
1849;1193.25
1850;1177.25
1851;1156.00
1852;1122.25
1853;1066.75
1854;1042.75
1855;1005.75
1856;985.25
1857;1010.25
1858;1013.25
1859;1028.25
1860;1033.00
1861;1057.25
1862;1077.50
1863;1116.75
1864;1170.00
1865;1214.75
1866;1248.50
1867;1255.00
1868;1199.50
1869;1209.75
1870;1190.50
1871;1198.25
1872;1159.25
1873;1146.00
1874;1093.75
1875;1081.75
1876;1032.75
1877;1016.75
1878;989.50
1879;952.75
1880;926.25
1881;921.25
1882;888.50
1883;856.00
1884;803.50
1885;797.50
1886;747.00
1887;742.75
1888;722.25
1889;689.75
1890;662.00
1891;641.00
1892;623.75
1893;599.25
1894;624.25
1895;616.00
